x_id,y_id,area,area_block,type,parameter,gather_silver_speed,silver_total_number,buff_id,troops|attack|defense|type|count|type,victory_occupy_reward|type|name|count,durability
int,int,int,int,int,int,int,int,int,[int|int|int|int][],[int|string|int][],int
地块横坐标,地块纵坐标,所属区域对应不同的地块颜色（0通用地块；1东北；2西北；3西南；4东南）,地块样式（1普通，2特殊）,地块类型（1=普通地块；2=中心城市；3=初始点；4=资源地块；5=关隘；6=障碍）中心城市必须被都占领后才会进行胜利赛季结束；初始点无法被其他工会占领,"地块类型=1时（1=低级树林；2=中级树林；3=高级树林；4=空地块）地块类型2时（配置0）地块类型=3时配置相应的阵营（1东北,2西北,3西南,4东南）地块类型=4时配置相应的等级（1低级,2中级,3高级）地块类型=6时配置相应的等级（1低级,2中级,3高级）",地块对应银币每次采集量,地块对应银币总量,地块对应的buff表中的id（没有buff的填写0）,[攻击|防御|将军类型|数量]|[攻击|防御|将军类型|数量]；不配置表示没有守备部队[0|0|0|0],占领后该地区给予占领阵营所有玩家的奖励，奖励值代表每个玩家获得的奖励[奖励类型|具体名字|数量]|[奖励类型|具体名字|数量]奖励类型（1=代币暂时只有gold)，没有的时候配置[0|0|0],地块对应的耐久值
key,key,,,,,,,,,,
0,,,,,,,,,,,
-10,-10,3,1,3,3,0,0,0,[0|0|1|0],[0|0|0],0
-8,-10,3,2,1,1,2000,200000,3001,[2000|2000|1|1000],[0|0|0],2000
-6,-10,3,1,4,1,6000,1200000,1001,[7000|7000|1|3000]|[7000|7000|2|3000]|[7000|7000|3|3000],[0|0|0],12000
-4,-10,3,1,1,4,11000,1100000,3002,[18000|18000|1|5500],[0|0|0],11000
-2,-10,3,1,1,4,15000,1500000,3003,[24000|24000|1|7000],[0|0|0],14000
0,-10,3,1,6,2,0,0,1004,[0|0|1|0],[0|0|0],0
2,-10,4,1,1,4,15000,1500000,3001,[24000|24000|1|7000],[0|0|0],14000
4,-10,4,1,1,4,11000,1100000,3002,[18000|18000|1|5500],[0|0|0],11000
6,-10,4,1,4,1,6000,1200000,1002,[7000|7000|1|3000]|[7000|7000|2|3000]|[7000|7000|3|3000],[0|0|0],12000
8,-10,4,2,1,1,2000,200000,3003,[2000|2000|1|1000],[0|0|0],2000
10,-10,4,1,3,4,0,0,0,[0|0|1|0],[0|0|0],0
-9,-9,3,1,1,4,2000,200000,3004,[2000|2000|1|1000],[0|0|0],2000
-7,-9,3,2,1,2,4000,400000,3001,[5000|5000|2|2000],[0|0|0],4000
-5,-9,3,1,1,4,7000,700000,3002,[10000|10000|3|4000],[0|0|0],8000
-3,-9,3,1,4,2,13000,2600000,1005,[20000|20000|1|6000]|[20000|20000|2|6000]|[20000|20000|3|6000],[0|0|0],24000
-1,-9,3,2,1,3,15000,1500000,3003,[24000|24000|1|7000],[0|0|0],14000
1,-9,4,1,1,4,15000,1500000,3004,[24000|24000|1|7000],[0|0|0],14000
3,-9,4,1,4,2,13000,2600000,1006,[20000|20000|1|6000]|[20000|20000|2|6000]|[20000|20000|3|6000],[0|0|0],24000
